2024-06-12 10:41:56 INFO  Keywords:92 - Navigate is called
2024-06-12 10:42:01 INFO  Keywords:120 - InputText is called
2024-06-12 10:42:01 INFO  Keywords:281 - Waiting for webElement...login.username
2024-06-12 10:42:01 INFO  Keywords:285 - Element found...login.username
2024-06-12 10:42:01 INFO  Keywords:120 - InputText is called
2024-06-12 10:42:01 INFO  Keywords:281 - Waiting for webElement...login.password
2024-06-12 10:42:01 INFO  Keywords:285 - Element found...login.password
2024-06-12 10:42:02 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:42:02 INFO  Keywords:281 - Waiting for webElement...login.loginbutton
2024-06-12 10:42:02 INFO  Keywords:285 - Element found...login.loginbutton
2024-06-12 10:42:12 INFO  Keywords:281 - Waiting for webElement...userlist.partner
2024-06-12 10:42:12 INFO  Keywords:285 - Element found...userlist.partner
2024-06-12 10:42:22 INFO  Keywords:281 - Waiting for webElement...userlist.userrole
2024-06-12 10:42:22 INFO  Keywords:285 - Element found...userlist.userrole
2024-06-12 10:42:22 INFO  Keywords:120 - InputText is called
2024-06-12 10:42:22 INFO  Keywords:281 - Waiting for webElement...userlist.loginID
2024-06-12 10:42:22 INFO  Keywords:285 - Element found...userlist.loginID
2024-06-12 10:42:22 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:42:22 INFO  Keywords:281 - Waiting for webElement...userlist.search
2024-06-12 10:42:22 INFO  Keywords:285 - Element found...userlist.search
2024-06-12 10:42:32 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:42:32 INFO  Keywords:281 - Waiting for webElement...userlist.selectuser
2024-06-12 10:42:32 INFO  Keywords:285 - Element found...userlist.selectuser
2024-06-12 10:42:32 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:42:32 INFO  Keywords:281 - Waiting for webElement...userlist.login
2024-06-12 10:42:32 INFO  Keywords:285 - Element found...userlist.login
2024-06-12 10:42:45 INFO  Keywords:281 - Waiting for webElement...userinformation.initialaction
2024-06-12 10:42:45 INFO  Keywords:285 - Element found...userinformation.initialaction
2024-06-12 10:42:46 INFO  Keywords:281 - Waiting for webElement...userinformation.rawxml
2024-06-12 10:42:46 INFO  Keywords:285 - Element found...userinformation.rawxml
2024-06-12 10:42:56 INFO  Keywords:440 - switching to parent window...
2024-06-12 10:43:14 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:43:14 INFO  Keywords:281 - Waiting for webElement...userinformation.samllogin
2024-06-12 10:43:14 INFO  Keywords:285 - Element found...userinformation.samllogin
2024-06-12 10:43:24 INFO  Keywords:281 - Waiting for webElement...carrier.Account
2024-06-12 10:43:27 INFO  Keywords:285 - Element found...carrier.Account
2024-06-12 10:43:37 INFO  Keywords:281 - Waiting for webElement...carrier.AgentName
2024-06-12 10:43:37 INFO  Keywords:285 - Element found...carrier.AgentName
2024-06-12 10:43:58 INFO  Keywords:281 - Waiting for webElement...Carrier.SolicitationState
2024-06-12 10:43:58 INFO  Keywords:285 - Element found...Carrier.SolicitationState
2024-06-12 10:44:08 INFO  Keywords:281 - Waiting for webElement...carrier.carrierName
2024-06-12 10:44:08 INFO  Keywords:285 - Element found...carrier.carrierName
2024-06-12 10:44:18 INFO  Keywords:281 - Waiting for webElement...carrier.carrierProduct
2024-06-12 10:44:18 INFO  Keywords:285 - Element found...carrier.carrierProduct
2024-06-12 10:44:28 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:44:28 INFO  Keywords:281 - Waiting for webElement...next
2024-06-12 10:44:28 INFO  Keywords:285 - Element found...next
2024-06-12 10:44:38 INFO  Keywords:281 - Waiting for webElement...plan.accountDesignation
2024-06-12 10:44:38 INFO  Keywords:285 - Element found...plan.accountDesignation
2024-06-12 10:44:48 INFO  Keywords:281 - Waiting for webElement...plan.planType
2024-06-12 10:44:48 INFO  Keywords:285 - Element found...plan.planType
2024-06-12 10:44:58 INFO  Keywords:281 - Waiting for webElement...plan.ownerType
2024-06-12 10:44:58 INFO  Keywords:285 - Element found...plan.ownerType
2024-06-12 10:44:58 INFO  Keywords:281 - Waiting for webElement...plan.owninsuranceplan
2024-06-12 10:44:59 INFO  Keywords:285 - Element found...plan.owninsuranceplan
2024-06-12 10:44:59 INFO  Keywords:281 - Waiting for webElement...plan.age60orOver
2024-06-12 10:44:59 INFO  Keywords:285 - Element found...plan.age60orOver
2024-06-12 10:44:59 INFO  Keywords:133 - ClickOnLink is called
2024-06-12 10:44:59 INFO  Keywords:281 - Waiting for webElement...next
2024-06-12 10:44:59 INFO  Keywords:285 - Element found...next
2024-06-12 10:45:14 INFO  Keywords:516 - ClearText is called
2024-06-12 10:45:14 INFO  Keywords:281 - Waiting for webElement...Indowner.dateofbirth
2024-06-12 10:45:14 INFO  Keywords:285 - Element found...Indowner.dateofbirth
2024-06-12 10:45:14 INFO  Keywords:520 - 
2024-06-12 10:45:14 INFO  Keywords:120 - InputText is called
2024-06-12 10:45:14 INFO  Keywords:281 - Waiting for webElement...Indowner.dateofbirth
2024-06-12 10:45:14 INFO  Keywords:285 - Element found...Indowner.dateofbirth
2024-06-12 10:45:14 INFO  Keywords:120 - InputText is called
2024-06-12 10:45:14 INFO  Keywords:281 - Waiting for webElement...Indowner.mobilephonenumber1
